"","zip","Entertainment ($000), 2017","% Black Population, 2017","% Asian Population, 2017","Social, recreation, health club membership ($000), 2017","Prescription drugs ($000), 2017","Healthcare ($000), 2017","suicides","city","state","latitude","longitude"
"54","90034",73756.6,10.1814,20.8509,4805.5,5281.8,101701,54,"Los Angeles","CA",34.03056,-118.39804
"55","95124",73721.7,1.7919,16.4576,6049.2,4951.3,93269.3,57,"San Jose","CA",37.256743,-121.92312
"56","95355",73601.5,3.8985,9.3257,4816.1,6060.2,105731.1,83,"Modesto","CA",37.673513,-120.95566
"57","95648",73566.2,1.5265,7.5419,5109.4,6171.6,104701.8,59,"Lincoln","CA",38.902873,-121.29795
"58","94080",73325.5,2.2267,40.8265,5176,5186.7,102063.6,60,"South San Francisco","CA",37.652857,-122.4301
"59","90025",73145.5,2.8894,21.3713,5404.4,4951.6,95234.1,47,"Los Angeles","CA",34.045006,-118.44527
"60","92882",73060.7,4.3803,10.4684,5144,5321.2,99125.5,57,"Corona","CA",33.866555,-117.59167
"61","92345",73012.7,5.3301,2.2641,4235.6,6650.6,111669.4,123,"Hesperia","CA",34.399992,-117.33999
"62","93722",72969.2,9.597,14.6371,4418.9,5799,106445,88,"Fresno","CA",36.801603,-119.88878
"63","93536",72920.6,13.9385,6.238,4962.6,5649.2,100856.4,79,"Lancaster","CA",34.728857,-118.32683
"64","90026",72465.4,3.013,19.2428,4498.1,5733.7,104947.5,49,"Los Angeles","CA",34.07851,-118.26596
"65","94539",72209.7,1.071,73.0313,6237.4,3628.5,88042.7,42,"Fremont","CA",37.515014,-121.92916
"66","91710",72157.5,5.4282,10.4227,4840.7,5609,101638.9,64,"Chino","CA",34.015963,-117.68737
"67","92071",72070.8,2.1822,4.8916,4964.5,5718.8,100268,83,"Santee","CA",32.84681,-116.98983
"68","95008",72063.9,3.3326,20.552,5506.4,4970.5,94220.7,61,"Campbell","CA",37.278843,-121.95446
"69","92037",71667.6,1.222,17.4473,6148.7,5024.7,89542.2,53,"La Jolla","CA",32.838761,-117.26159
"70","94566",71626,1.4837,20.7702,6142.1,4589.8,88046.8,44,"Pleasanton","CA",37.658898,-121.87149
"71","91730",71619.7,11.3043,11.6451,4542.1,5436.8,100703.6,71,"Rancho Cucamonga","CA",34.104555,-117.58734
