"","year","zipcode","causes_of_death","count"
"199",2015,90713,"SUI",4
"200",2015,90715,"SUI",1
"201",2015,90716,"SUI",1
"202",2015,90717,"SUI",1
"203",2015,90720,"SUI",1
"204",2015,90723,"SUI",2
"205",2015,90725,"SUI",0
"206",2015,90730,"SUI",0
"207",2015,90731,"SUI",3
"208",2015,90732,"SUI",3
"209",2015,90734,"SUI",0
"210",2015,90740,"SUI",5
"211",2015,90741,"SUI",0
"212",2015,90742,"SUI",0
"213",2015,90743,"SUI",0
"214",2015,90744,"SUI",6
"215",2015,90745,"SUI",4
"216",2015,90746,"SUI",2
"217",2015,90749,"SUI",0
"218",2015,90750,"SUI",0
"219",2015,90754,"SUI",0
"220",2015,90755,"SUI",1
"221",2015,90762,"SUI",0
"222",2015,90790,"SUI",0
"223",2015,90801,"SUI",0
"224",2015,90802,"SUI",7
"225",2015,90803,"SUI",6
"226",2015,90804,"SUI",6
"227",2015,90805,"SUI",4
"228",2015,90806,"SUI",6
"229",2015,90807,"SUI",1
"230",2015,90808,"SUI",6
"231",2015,90809,"SUI",0
"232",2015,90810,"SUI",2
"233",2015,90813,"SUI",7
"234",2015,90814,"SUI",1
"235",2015,90815,"SUI",2
"236",2015,90822,"SUI",0
"237",2015,90824,"SUI",0
"238",2015,90843,"SUI",0
"239",2015,90855,"SUI",0
"240",2015,90880,"SUI",0
"241",2015,90902,"SUI",0
"242",2015,91001,"SUI",2
"243",2015,91003,"SUI",0
"244",2015,91006,"SUI",0
"245",2015,91007,"SUI",1
"246",2015,91008,"SUI",0
"247",2015,91010,"SUI",2
"248",2015,91011,"SUI",1
"249",2015,91012,"SUI",0
"250",2015,91016,"SUI",6
"251",2015,91020,"SUI",0
"252",2015,91024,"SUI",4
"253",2015,91025,"SUI",0
"254",2015,91026,"SUI",0
"255",2015,91030,"SUI",1
"256",2015,91040,"SUI",4
"257",2015,91042,"SUI",5
"258",2015,91046,"SUI",0
"259",2015,91054,"SUI",0
"260",2015,91060,"SUI",0
"261",2015,91061,"SUI",0
"262",2015,91069,"SUI",0
"263",2015,91081,"SUI",0
"264",2015,91101,"SUI",1
"265",2015,91103,"SUI",1
"266",2015,91104,"SUI",2
"267",2015,91105,"SUI",4
"268",2015,91106,"SUI",1
"269",2015,91107,"SUI",3
"270",2015,91108,"SUI",1
"271",2015,91109,"SUI",0
"272",2015,91173,"SUI",0
"273",2015,91176,"SUI",0
"274",2015,91201,"SUI",2
"275",2015,91202,"SUI",3
"276",2015,91203,"SUI",1
"277",2015,91204,"SUI",1
"278",2015,91205,"SUI",2
"279",2015,91206,"SUI",1
"280",2015,91207,"SUI",1
"281",2015,91208,"SUI",2
"282",2015,91209,"SUI",0
"283",2015,91210,"SUI",0
"284",2015,91213,"SUI",0
"285",2015,91214,"SUI",3
"286",2015,91221,"SUI",0
"287",2015,91224,"SUI",0
"288",2015,91226,"SUI",0
"289",2015,91233,"SUI",0
"290",2015,91239,"SUI",0
"291",2015,91250,"SUI",0
"292",2015,91255,"SUI",0
"293",2015,91260,"SUI",0
"294",2015,91265,"SUI",0
"295",2015,91267,"SUI",0
"296",2015,91285,"SUI",0
"297",2015,91301,"SUI",1
"298",2015,91302,"SUI",0
"299",2015,91303,"SUI",3
"300",2015,91304,"SUI",5
"301",2015,91305,"SUI",0
"302",2015,91306,"SUI",7
"303",2015,91307,"SUI",1
"304",2015,91308,"SUI",0
"305",2015,91310,"SUI",0
"306",2015,91311,"SUI",6
"307",2015,91312,"SUI",0
"308",2015,91316,"SUI",1
"309",2015,91319,"SUI",0
"310",2015,91320,"SUI",5
"311",2015,91321,"SUI",4
"312",2015,91322,"SUI",0
"313",2015,91323,"SUI",0
"314",2015,91324,"SUI",2
"315",2015,91325,"SUI",4
"316",2015,91326,"SUI",5
"317",2015,91328,"SUI",0
"318",2015,91330,"SUI",0
"319",2015,91331,"SUI",7
"320",2015,91332,"SUI",0
"321",2015,91334,"SUI",0
"322",2015,91335,"SUI",7
"323",2015,91340,"SUI",2
"324",2015,91341,"SUI",0
"325",2015,91342,"SUI",13
"326",2015,91343,"SUI",3
"327",2015,91344,"SUI",6
"328",2015,91345,"SUI",1
"329",2015,91346,"SUI",0
"330",2015,91349,"SUI",0
"331",2015,91350,"SUI",6
"332",2015,91351,"SUI",6
"333",2015,91352,"SUI",2
"334",2015,91353,"SUI",0
"335",2015,91354,"SUI",3
"336",2015,91355,"SUI",1
"337",2015,91356,"SUI",2
"338",2015,91359,"SUI",1
"339",2015,91360,"SUI",5
"340",2015,91361,"SUI",3
"341",2015,91362,"SUI",9
"342",2015,91364,"SUI",3
"343",2015,91365,"SUI",0
"344",2015,91367,"SUI",2
"345",2015,91377,"SUI",1
"346",2015,91379,"SUI",0
"347",2015,91381,"SUI",4
"348",2015,91382,"SUI",0
"349",2015,91384,"SUI",3
"350",2015,91387,"SUI",7
"351",2015,91390,"SUI",2
"352",2015,91396,"SUI",0
"353",2015,91400,"SUI",0
"354",2015,91401,"SUI",6
"355",2015,91402,"SUI",5
"356",2015,91403,"SUI",3
"357",2015,91404,"SUI",0
"358",2015,91405,"SUI",3
"359",2015,91406,"SUI",6
"360",2015,91408,"SUI",0
"361",2015,91409,"SUI",0
"362",2015,91411,"SUI",0
"363",2015,91412,"SUI",0
"364",2015,91413,"SUI",0
"365",2015,91417,"SUI",0
"366",2015,91423,"SUI",6
"367",2015,91430,"SUI",0
"368",2015,91436,"SUI",2
"369",2015,91471,"SUI",0
"370",2015,91478,"SUI",0
"371",2015,91485,"SUI",0
"372",2015,91495,"SUI",0
"373",2015,91501,"SUI",2
"374",2015,91502,"SUI",0
"375",2015,91504,"SUI",0
"376",2015,91505,"SUI",4
"377",2015,91506,"SUI",4
"378",2015,91526,"SUI",0
"379",2015,91540,"SUI",0
"380",2015,91546,"SUI",0
"381",2015,91555,"SUI",0
"382",2015,91599,"SUI",0
"383",2015,91601,"SUI",6
"384",2015,91602,"SUI",1
"385",2015,91604,"SUI",3
"386",2015,91605,"SUI",2
"387",2015,91606,"SUI",1
"388",2015,91607,"SUI",7
"389",2015,91615,"SUI",0
"390",2015,91630,"SUI",0
"391",2015,91634,"SUI",0
"392",2015,91647,"SUI",0
"393",2015,91650,"SUI",0
"394",2015,91656,"SUI",0
"395",2015,91670,"SUI",0
"396",2015,91674,"SUI",0
"397",2015,91700,"SUI",0
"398",2015,91701,"SUI",3
"399",2015,91702,"SUI",1
"400",2015,91703,"SUI",0
"401",2015,91704,"SUI",0
"402",2015,91705,"SUI",0
"403",2015,91706,"SUI",1
"404",2015,91707,"SUI",0
"405",2015,91708,"SUI",1
"406",2015,91709,"SUI",6
"407",2015,91710,"SUI",8
"408",2015,91711,"SUI",7
"409",2015,91716,"SUI",0
"410",2015,91719,"SUI",0
"411",2015,91720,"SUI",0
"412",2015,91722,"SUI",5
"413",2015,91723,"SUI",3
"414",2015,91724,"SUI",0
"415",2015,91725,"SUI",0
"416",2015,91730,"SUI",13
"417",2015,91731,"SUI",6
"418",2015,91732,"SUI",2
"419",2015,91733,"SUI",3
"420",2015,91734,"SUI",0
"421",2015,91736,"SUI",0
"422",2015,91737,"SUI",1
"423",2015,91739,"SUI",6
"424",2015,91740,"SUI",1
"425",2015,91741,"SUI",2
"426",2015,91742,"SUI",0
"427",2015,91744,"SUI",4
"428",2015,91745,"SUI",2
"429",2015,91746,"SUI",2
"430",2015,91747,"SUI",0
"431",2015,91748,"SUI",4
"432",2015,91750,"SUI",4
"433",2015,91751,"SUI",0
"434",2015,91752,"SUI",1
"435",2015,91754,"SUI",2
"436",2015,91755,"SUI",1
"437",2015,91759,"SUI",1
"438",2015,91760,"SUI",0
"439",2015,91761,"SUI",0
"440",2015,91762,"SUI",1
"441",2015,91763,"SUI",5
"442",2015,91764,"SUI",2
"443",2015,91765,"SUI",3
"444",2015,91766,"SUI",3
"445",2015,91767,"SUI",3
"446",2015,91768,"SUI",3
"447",2015,91769,"SUI",0
"448",2015,91770,"SUI",4
"449",2015,91772,"SUI",0
"450",2015,91773,"SUI",1
"451",2015,91774,"SUI",0
"452",2015,91775,"SUI",2
"453",2015,91776,"SUI",5
"454",2015,91780,"SUI",4
"455",2015,91783,"SUI",0
"456",2015,91784,"SUI",2
"457",2015,91785,"SUI",0
"458",2015,91786,"SUI",7
"459",2015,91788,"SUI",0
"460",2015,91789,"SUI",3
"461",2015,91790,"SUI",2
"462",2015,91791,"SUI",5
"463",2015,91792,"SUI",3
"464",2015,91793,"SUI",0
"465",2015,91801,"SUI",5
"466",2015,91803,"SUI",0
