Name,FIPS,"% Male Population, 2017","% Female Population, 2017","Healthcare (Household Average), 2017","% Employment, Blue Collar, 2017","% Employment, White Collar, 2017","% Non-Family Population, 2017","Total Population, Median Age, 2017","% American Indian and Alaska Native Population, 2017","% White Non-Hispanic Population, 2017","% Hispanic Population, 2017","% White Population, 2017","% Black Population, 2017","% Asian Population, 2017","Median Household Income, 2017","% Education, High School, 2017","% Education, < High School, 2017","% Education Attainment, Bachelor's Degree, 2017"
"92140, San Diego, CA",92140,99.1718,0.8282,4385.7143,8,48,0,21.6,2.0112,66.3117,20.0532,78.5566,4.7619,3.6676,116667,22.9299,3.1847,24.2038
"93528, Johannesburg, CA",93528,91.3902,8.6098,4196.124,0,43.0809,5.6082,38.4,0.7109,14.139,83.5703,93.9179,1.0269,2.8436,29583,22.6804,40.2062,5.2405
"92134, San Diego, CA",92134,81.5534,18.4466,4284.6154,0,0,6.3107,23.6,2.9126,48.0583,18.4466,54.3689,16.5049,12.6214,91667,87.1795,1.2821,2.5641
"95669, Plymouth, CA",95669,76.264,23.736,4936.2626,20.4694,55.8018,7.1504,43.2,2.179,52.1895,26.6977,70.4252,14.1739,1.5232,67922,27.5521,27.7083,8.9844
"92145, San Diego, CA",92145,75.1634,24.8366,3608.2707,10.5263,69.4737,0.2905,21.9,1.5251,55.0472,21.8591,67.6834,10.8206,5.8097,62500,32,2.1538,6.7692
"92257, Niland, CA",92257,74.8229,25.1771,4429.7391,0.578,27.1676,19.564,47,0.9809,44.7956,34.1144,67.6839,18.2016,1.4169,26395,45.0549,28.9377,2.0757
"91917, Dulzura, CA",91917,74.0154,25.9846,5330.4038,14.7619,72.5397,6.1216,36.1,0.8134,41.2671,39.8545,64.4692,12.4572,4.1096,90530,25.392,23.6429,8.9867
"96121, Milford, CA",96121,73.3333,26.6667,4689.9471,21.1055,62.8141,9.2593,37.7,3.8272,49.8765,18.1481,58.8889,19.2593,4.321,66667,18.8988,9.375,9.0774
"95312, Cressey, CA",95312,70.7379,29.2621,4664.1791,25.2632,44.2105,5.8524,33.4,2.2901,30.5344,43.5115,47.5827,15.0127,6.1069,60938,39.2361,35.0694,5.9028
"90021, Los Angeles, CA",90021,69.8273,30.1727,2989.072,36.3458,47.446,39.3021,43.9,1.2337,20.6204,38.7029,40.3243,31.4064,5.7455,17634,19.9582,36.0752,13.0689
"93212, Corcoran, CA",93212,69.7219,30.2781,4112.0202,28.5945,31.129,4.94,33.7,1.4875,14.7819,68.619,32.8643,10.9533,0.8832,39776,26.0784,41.3544,2.9086
"93204, Avenal, CA",93204,69.1946,30.8054,3954.5255,18.75,17.0122,4.885,32.7,1.2034,10.3397,76.928,34.4727,7.7334,0.6979,37617,21.6632,51.5342,3.307
"93960, Soledad, CA",93960,68.1087,31.8913,4545.9241,20.2125,30.0083,2.7008,34.4,1.6325,8.9932,73.9042,48.7277,9.891,3.4141,62500,25.8569,47.0101,3.0628
"92338, Ludlow, CA",92338,68.0851,31.9149,3616.6667,25,50,1.0638,21.9,1.0638,60.6383,24.4681,75.5319,7.4468,4.2553,65000,32,0,20
"92278, Twentynine Palms, CA",92278,67.8197,32.1803,3547.0588,24.1379,56.3218,1.2579,21.8,1.4675,59.2243,24.5283,74.6331,7.1279,4.4025,55882,30.6513,1.1494,19.9234
"96113, Herlong, CA",96113,67.7945,32.2055,4414.6119,22.9551,59.6306,12.594,37.4,3.8847,53.0075,16.9799,61.2155,16.5414,3.6341,63750,22.6143,10.9864,9.8637
"96130, Susanville, CA",96130,66.7163,33.2837,4607.3346,12.1759,58.2864,12.1122,35.3,3.7478,59.995,21.0772,68.5182,9.1983,2.1246,66975,26.5683,19.599,8.5567
"92304, Amboy, CA",92304,66.6667,33.3333,5100,0,0,33.3333,35,0,33.3333,66.6667,66.6667,0,0,75000,0,0,66.6667
"95327, Jamestown, CA",95327,66.1857,33.8143,4654.4381,21.9475,41.8769,12.9872,41.6,2.3406,61.7089,22.5429,69.1626,8.999,0.8863,51507,28.0029,18.437,4.7178
"92233, Calipatria, CA",92233,66.0721,33.9279,4187.738,18.0085,38.065,6.7563,33.4,1.0507,12.0831,70.4826,45.1924,12.6573,2.1258,38324,28.159,41.0444,3.7426
"92225, Blythe, CA",92225,65.2418,34.7582,4236.3853,20.6993,43.081,8.6025,37.7,1.4249,24.0675,55.4723,55.9391,14.4126,1.6787,51893,30.6847,29.3642,5.9741
"93210, Coalinga, CA",93210,64.4117,35.5883,4355.9683,24.4729,44.3323,6.8366,33.6,1.4679,25.8248,58.9666,49.1314,8.7534,2.5722,50150,24.6983,38.6451,4.8409
"91931, Guatay, CA",91931,64.2857,35.7143,4600,0,60,14.2857,57.5,0,78.5714,14.2857,85.7143,7.1429,0,62500,35.7143,21.4286,21.4286
"93721, Fresno, CA",93721,63.603,36.397,3418.2752,24.4329,34.4135,16.7563,31.6,2.006,13.5571,65.4648,53.127,12.8753,4.7201,23725,24.7743,44.1324,4.7743
"95304, Tracy, CA",95304,63.009,36.991,5019.9305,20.7291,61.2972,5.8163,36.6,0.8182,41.4373,30.1662,59.6029,10.8652,10.5988,98693,26.8666,20.5853,12.2527
"90013, Los Angeles, CA",90013,62.9195,37.0805,3083.1799,11.6566,67.1531,47.4658,43.4,1.5951,23.4567,24.0713,36.0586,29.1396,18.3262,26320,21.6412,22.9784,19.4285
"93405, San Luis Obispo, CA",93405,62.356,37.644,3929.4251,10.641,67.7275,34.3412,24.4,0.5615,61.7744,17.6515,75.2304,7.7805,8.1922,51011,18.2921,15.8413,21.5008
"91384, Castaic, CA",91384,62.3549,37.6451,5329.4661,16.1429,68.7861,5.5598,32.8,0.6218,41.3195,35.5335,55.7311,9.9125,8.9682,130302,18.3534,15.814,19.9226
"92058, Oceanside, CA",92058,62.0217,37.9783,4018.2412,18.9127,54.9433,5.7282,23,1.6359,49.5692,30.877,66.0696,7.6793,6.5232,61362,26.3558,10.1505,14.1938
"90014, Los Angeles, CA",90014,61.8663,38.1337,3121.1718,12.2807,67.1311,56.456,40.5,1.5344,29.0066,30.7684,45.0671,22.8461,11.389,26525,18.7228,22.3039,22.2222
"95231, French Camp, CA",95231,61.7742,38.2258,4166.2461,30.0804,38.9208,5.8065,30.4,0.9946,16.7473,49.6237,37.0968,14.0323,14.1398,51031,26.8817,39.1577,4.4803
"90012, Los Angeles, CA",90012,61.4832,38.5168,3442.8783,16.3912,54.0338,23.7834,37.3,0.7617,11.5821,30.8535,27.8301,13.3118,42.0228,33496,20.412,37.9641,14.1932
"95939, Elk Creek, CA",95939,61.2554,38.7446,4871.5152,9.2715,47.0199,13.2035,48.3,1.5152,72.5108,19.697,79.8701,4.7619,1.0823,54808,23.5457,29.3629,11.0803
"93928, Jolon, CA",93928,60.6061,39.3939,4826.3514,19.1011,56.7416,14.2857,40.8,2.1645,65.368,22.5108,77.2727,3.4632,3.8961,85000,25.5952,9.5238,14.5833
"95234, Holt, CA",95234,60,40,3952.6316,20,12,12.3077,34.1,3.0769,12.3077,80,52.3077,0,0,28333,16.6667,64.2857,2.381
"94102, San Francisco, CA",94102,59.9879,40.0121,3356.725,7.067,59.995,52.6427,41.5,0.8577,36.1643,18.7889,42.3286,12.4283,27.7197,29533,16.2497,19.3264,22.9264
"93280, Wasco, CA",93280,59.8228,40.1772,4159.4451,29.3208,25.3928,4.492,29.2,1.4453,11.2753,78.8583,51.9391,7.0956,1.1439,46067,31.7403,42.8125,4.0598
"93563, Valyermo, CA",93563,59.5376,40.4624,4845.5882,30.5085,42.3729,19.6532,47.9,1.1561,61.2717,24.2775,71.6763,6.3584,3.4682,66667,20,27.1429,6.4286
"94103, San Francisco, CA",94103,59.4061,40.5939,3767.0705,9.1236,71.5185,49.6538,39.7,1.4641,34.9099,23.0804,43.0845,9.897,27.4691,53604,15.2383,14.7253,30.1704
"92274, Thermal, CA",92274,59.3913,40.6087,4132.7017,18.687,21.337,5.485,29,1.3921,7.9619,83.5493,44.2493,4.9537,0.9091,32379,23.1705,51.5313,3.4881
"95814, Sacramento, CA",95814,59.0669,40.9331,3553.9818,6.1021,76.3636,54.2183,37.7,1.7347,49.5313,22.5299,61.6097,12.4125,9.5141,43381,19.64,14.92,24.5333
"92118, Coronado, CA",92118,59.0499,40.9501,5089.1107,10.2785,75.5814,11.7259,32.6,1.0411,67.9725,16.0484,78.1754,7.3417,5.0089,110063,12.4598,2.4449,29.3389
"93501, Mojave, CA",93501,58.8656,41.1344,4072.4038,30.0427,41.1486,12.7289,37.3,1.4143,40.9558,46.4493,68.7956,10.2873,1.9354,40438,31.8489,26.9155,6.134
"91935, Jamul, CA",91935,58.8101,41.1899,5472.1338,14.6275,70.2666,7.1818,42.2,0.7305,58.3876,29.0442,76.5622,5.756,3.5381,106503,23.8351,12.6546,13.4666
"94114, San Francisco, CA",94114,58.7711,41.2289,4831.8029,3.5521,89.0014,57.8452,40.8,0.4228,70.4463,9.8636,75.3997,1.9104,12.0517,138876,5.8832,2.4822,38.1481
"96009, Bieber, CA",96009,58.75,41.25,4707.2727,17.2414,48.2759,12.0833,40.2,4.7917,70,19.7917,80.4167,3.125,0.625,58594,25.6484,19.8847,5.7637
"93215, Delano, CA",93215,58.7043,41.2957,4122.1563,21.9829,29.0857,3.5762,29.6,1.2115,3.5337,75.2587,38.7949,7.3168,14.5063,42572,29.2661,43.9628,5.587
"90069, West Hollywood, CA",90069,58.6497,41.3503,4476.8921,4.4944,83.9529,67.9417,42.2,0.2318,76.7797,9.461,83.2223,2.9702,6.7468,97015,11.6501,3.4751,40.7997
"95728, Soda Springs, CA",95728,58.5417,41.4583,4978.97,23.5897,54.8718,38.75,47.2,1.6667,89.7917,5.2083,93.5417,0.625,0.2083,80882,37.2751,0,33.6761
"96146, Olympic Valley, CA",96146,58.3808,41.6192,4510.9668,14.6205,51.5625,37.1917,40.6,0.3795,87.2865,3.5421,89.5003,0.3163,6.4516,61964,6.5199,2.9636,34.8857
"93426, Bradley, CA",93426,58.3802,41.6198,4956.5916,19.7037,56.7407,15.4668,43.7,1.9123,68.8976,20.5287,80.09,2.6434,3.3183,87264,25.5141,7.54,13.0236
"94949, Novato, CA",94949,58.1665,41.8335,5067.0502,12.2756,70.7987,14.1362,41.9,1.0236,54.4977,22.8916,65.2912,9.7473,6.5676,103012,19.6742,10.8054,21.2428
"95560, Redway, CA",95560,58.1607,41.8393,4374.2287,23.5294,56.427,32.4772,44.8,2.4855,80.0331,7.6222,84.0099,3.2312,1.1599,55833,17.414,8.1335,26.0688
"92101, San Diego, CA",92101,57.9399,42.0601,3917.438,7.4918,73.8338,50.5891,37.3,1.0545,55.2121,22.6531,67.4488,9.6068,8.5626,64455,10.74,9.4423,30.2425
"95587, Piercy, CA",95587,57.9268,42.0732,4382.6667,23.4375,57.8125,32.9268,44.6,2.439,80.4878,7.3171,84.1463,3.0488,1.2195,57500,16.4179,8.209,26.8657
"94599, Yountville, CA",94599,57.8585,42.1415,5051.4155,14.6341,64.0244,21.1198,65.2,1.2443,80.7138,11.1984,86.0838,1.539,2.0629,84167,23.3419,10.4067,28.2521
"95724, Norden, CA",95724,57.7778,42.2222,4900,21.3836,78.6164,27.7778,48.6,0.7407,88.8889,3.3333,90.7407,0.3704,2.5926,65000,34.1014,0,17.5115
"92264, Palm Springs, CA",92264,57.7697,42.2303,4606.2029,11.7158,63.3606,46.9182,57.8,1.2003,67.7899,20.3453,79.8514,2.676,5.7799,59223,19.3574,9.673,21.3342
"92280, Vidal, CA",92280,57.6923,42.3077,4338.4615,27.2727,45.4545,30.7692,45,3.8462,73.0769,11.5385,80.7692,3.8462,0,58333,45.4545,9.0909,9.0909
"94592, Vallejo, CA",94592,57.4777,42.5223,4391.0394,8.3532,79.7136,18.3036,31.3,0.558,41.8527,13.5045,47.6563,15.625,24.5536,88750,9.8485,2.8409,34.6591
"96068, Nubieber, CA",96068,57.3529,42.6471,4634.7826,12.5,62.5,11.7647,40.8,4.4118,69.1176,19.1176,82.3529,2.9412,0,62500,26.4151,18.8679,5.6604
"92389, Tecopa, CA",92389,57.2139,42.7861,4080,5.618,30.3371,49.7512,52,4.4776,77.6119,11.4428,86.0697,1.4925,1.4925,47692,39.1813,14.6199,21.6374
"96116, Likely, CA",96116,57.085,42.915,4755.7143,23.4568,58.0247,13.3603,44,2.834,77.3279,10.9312,84.6154,5.668,0.8097,48846,23.3696,23.913,5.9783
"92364, Nipton, CA",92364,57,43,4314.7059,12.9032,45.1613,20,36.1,1,33,56,51,1,3,47000,39.3939,31.8182,0
"92384, Shoshone, CA",92384,57,43,4123.7288,6.8182,29.5455,50,51.2,5,76,11,85,1,2,47500,37.931,13.7931,22.9885
"95537, Fields Landing, CA",95537,56.9579,43.0421,3986.6667,18.3206,48.0916,44.9838,47,4.2071,76.0518,7.1197,77.9935,1.2945,4.2071,23621,26.1044,27.3092,5.6225
"95110, San Jose, CA",95110,56.947,43.053,4058.7022,24.0225,48.423,18.4894,31.7,1.335,14.3202,64.4075,38.8684,4.467,12.4974,63697,22.5549,31.7924,16.0862
"96136, Wendel, CA",96136,56.8421,43.1579,5087.8788,26.6667,53.3333,12.6316,40,3.1579,71.5789,15.7895,81.0526,3.1579,1.0526,83333,17.6471,4.4118,10.2941
"95903, Beale Afb, CA",95903,56.7749,43.2251,3586.9018,32.8859,63.7584,0.8959,22,2.0157,59.2385,16.0134,67.8052,12.0381,4.7032,48378,13.8138,3.6036,14.5646
"92328, Death Valley, CA",92328,56.7329,43.2671,4069.5167,5.9701,30.3483,49.6689,51.8,4.415,77.2627,11.2583,85.872,1.3245,1.766,46250,38.8601,14.5078,21.5026
"92860, Norco, CA",92860,56.7204,43.2796,5215.4859,22.5728,59.6247,7.5338,39.1,1.1187,50.7384,33.6585,72.1394,6.9882,4.1847,99309,28.7685,19.2461,11.7508
"93251, Mc Kittrick, CA",93251,56.6884,43.3116,3790.2527,13.0081,10.1626,5.1338,23.7,0.0723,5.5676,93.637,12.0029,0.0723,0.0723,42419,17.9173,69.8315,0.3063
"93665, South Dos Palos, CA",93665,56.5836,43.4164,4197.6744,23.7705,18.8525,10.6762,33.3,0,34.8754,59.4306,69.7509,2.1352,2.4911,48889,20.6897,57.4713,5.1724
"96155, South Lake Tahoe, CA",96155,56.533,43.467,4929.4118,10.5943,47.0284,24.4502,38.3,0.6468,82.6649,8.7969,87.3221,1.8111,2.7167,82018,20.3358,17.3507,17.9104
"92310, Fort Irwin, CA",92310,56.25,43.75,3571.1552,22.9126,48.6084,5.4271,24.1,1.2637,44.6219,30.1822,57.7684,13.5776,6.6614,60451,23.583,2.441,14.8118
"95986, Washington, CA",95986,56.25,43.75,4882.6087,26.3158,52.6316,39.5833,45,2.0833,89.5833,4.1667,93.75,0,0,83333,38.4615,0,33.3333
"96015, Canby, CA",96015,56.25,43.75,4747.1545,23.4043,57.4468,12.963,45.8,3.0093,77.5463,11.1111,84.4907,5.5556,0.6944,47500,23.676,22.7414,6.2305
"91905, Boulevard, CA",91905,56.1666,43.8334,4723.1655,12.5,64.5588,15.1628,45,16.8713,53.3903,24.079,65.1361,3.417,1.7085,54620,32.8239,16.0844,1.4556
"95318, El Portal, CA",95318,56.1486,43.8514,4237.2,22.9607,35.146,30.4054,38.7,3.5135,75.5405,11.2162,79.7973,2.2297,3.8514,69106,25.4902,6.8201,24.8082
"91948, Mount Laguna, CA",91948,56.057,43.943,4825.625,3.4247,63.0137,17.3397,47.3,1.4252,78.8599,12.5891,83.3729,4.9881,1.6627,67500,36.3077,17.2308,12.3077
"96108, Davis Creek, CA",96108,55.9748,44.0252,4732.6087,23.0769,57.6923,13.2075,46,3.1447,77.9874,11.3208,84.2767,5.6604,0.6289,50000,23.5294,24.3697,5.8824
"93530, Keeler, CA",93530,55.9471,44.0529,4571.4286,8.0808,72.7273,26.8722,54.3,3.0837,72.2467,18.5022,77.9736,0,2.6432,46429,13.9037,10.6952,11.2299
"93250, Mc Farland, CA",93250,55.9393,44.0607,4138.1302,17.8999,20.514,3.0134,26.8,1.7129,3.4888,90.6034,47.3048,2.517,1.1466,39431,23.6959,54.4823,3.7615
"96017, Castella, CA",96017,55.914,44.086,4682.2222,15.3846,50,27.957,53.8,3.2258,87.0968,4.3011,90.3226,1.0753,0,44000,32.8947,6.5789,13.1579
"94105, San Francisco, CA",94105,55.8606,44.1394,4663.7272,2.0536,94.1071,54.1467,34.6,0.2614,48.4241,6.3036,51.939,2.3965,37.8214,170990,2.8643,3.2328,46.1474
"92309, Baker, CA",92309,55.7616,44.2384,4143.5294,15.7658,42.7928,19.7351,32,1.3245,34.9669,56.1589,50.596,1.1921,2.9139,43235,36.2637,32.7473,0
"94535, Travis Afb, CA",94535,55.6896,44.3104,3776.1671,16.4671,50.8982,1.5081,22.2,0.6032,52.4267,17.439,62.5171,11.955,9.8437,68878,18.0258,1.0014,18.2403
"95471, Rio Nido, CA",95471,55.6784,44.3216,4350.0952,18.8764,64.9438,44.0201,47.1,2.6131,72.6633,16.4824,77.6884,1.3065,1.5075,52035,12.6761,12.6761,5.8899
"95113, San Jose, CA",95113,55.621,44.379,3785.3899,15.9292,76.3717,53.0514,32.7,0.9636,33.0835,21.1991,41.97,6.1028,35.5996,65891,14.3281,13.363,34.2984
"95811, Sacramento, CA",95811,55.6002,44.3998,3440.894,10.3755,70.9239,53.7619,34.8,1.5096,47.6747,20.7329,58.0959,11.9308,13.6718,44148,19.041,12.6479,23.3902
"96140, Carnelian Bay, CA",96140,55.5882,44.4118,4651.1905,7.1856,62.8743,33.2353,52.8,0.2941,90.8824,2.6471,92.6471,0.2941,3.8235,65541,20.2899,2.5362,35.5072
"95531, Crescent City, CA",95531,55.5427,44.4573,4533.1986,12.4726,50.2562,16.716,39.2,7.4117,62.0274,19.0764,72.7952,4.459,4.1415,52694,28.2571,19.0846,10.2909
"96075, Paynes Creek, CA",96075,55.5315,44.4685,4694.709,17.5141,54.8023,15.6182,51.3,4.1215,79.3926,10.846,85.9002,2.603,1.0846,44000,21.3333,15.4667,12.8
"96142, Tahoma, CA",96142,55.5094,44.4906,4764.3172,14.1129,62.7016,27.3389,45.5,0.8316,88.8773,4.7817,91.684,0.2079,1.7672,66739,18.3924,3.5422,19.346
"92277, Twentynine Palms, CA",92277,55.4221,44.5779,3956.6443,18.2257,50.0453,14.9841,25.3,1.2398,58.142,22.4479,70.6853,7.9619,5.8495,52533,30.5872,12.1413,10.5983
"92341, Green Valley Lake, CA",92341,55.4217,44.5783,4616.7598,12.6437,66.6667,20.241,50.7,0.241,83.3735,13.253,93.012,0,1.4458,41000,7.5472,13.522,26.7296
"95429, Dos Rios, CA",95429,55.4217,44.5783,4642.0063,23.1076,48.2072,34.6386,51.6,2.8614,80.7229,9.0361,83.5843,0.6024,1.2048,53409,46.1825,7.4488,13.7803
"90028, Los Angeles, CA",90028,55.407,44.593,3475.1841,11.0795,58.4935,48.4786,34.4,0.8528,43.5047,33.8819,60.4871,7.4593,10.0674,37447,15.6689,17.1435,29.8896
"95494, Yorkville, CA",95494,55.4068,44.5932,4260.6811,26.9136,39.5062,18.0227,36.4,2.5747,40.1648,54.7889,50.1545,1.0299,0.9269,36842,23.6307,21.4397,15.6495
"93640, Mendota, CA",93640,55.3948,44.6052,3968.9985,18.0264,17.4701,6.7618,27.2,1.6471,0.3868,96.4257,41.8645,0.9136,0.8202,32500,17.0967,67.6336,1.2097
"95639, Hood, CA",95639,55.3571,44.6429,4579.4643,6.25,65.1786,17.5,48.4,2.5,40.7143,42.5,57.5,1.0714,7.8571,57692,18.2243,32.243,19.1589
"95514, Blocksburg, CA",95514,55.2381,44.7619,4038.5417,41.2371,19.5876,29.0476,46,4.7619,80,9.0476,85.7143,0,1.4286,24286,36.0248,16.7702,6.8323
"93249, Lost Hills, CA",93249,55.1993,44.8007,3983.89,18.1601,14.6953,3.4662,25,1.1265,4.9827,92.6343,24.3934,0.4333,1.4731,41993,16.7965,68.3983,2.5108
"95511, Alderpoint, CA",95511,55.1807,44.8193,4037.037,43,17,28.9157,46.4,4.5783,79.759,9.3976,85.7831,0.241,1.2048,23966,38.125,17.1875,5.9375
"93532, Lake Hughes, CA",93532,55.1799,44.8201,5020,17.4578,71.4401,16.1871,41,1.1151,70.5036,19.4604,82.7698,3.3094,2.0144,87415,20.0215,7.4273,17.9225
"96111, Floriston, CA",96111,55.1724,44.8276,4942.8571,25,54.1667,39.6552,44.1,1.7241,89.6552,5.1724,93.1034,0,0,91667,40.4255,0,31.9149
"92262, Palm Springs, CA",92262,55.1616,44.8384,4329.0354,12.8681,57.9995,36.8092,48.6,1.3915,51.1057,32.9438,66.1429,6.3644,4.7679,54035,21.6774,14.0676,18.109
"95246, Mountain Ranch, CA",95246,55.1546,44.8454,4957.5172,27.9026,59.9251,19.8167,54.7,1.9473,78.866,11.6838,85.3952,2.3482,2.2337,63793,26.7261,4.5286,14.1054
"95564, Samoa, CA",95564,55.1451,44.8549,4051.875,27.3171,35.122,35.6201,36.5,2.9024,75.7256,10.5541,80.2111,1.3193,0.5277,47115,38.6617,10.4089,16.3569
"92868, Orange, CA",92868,55.1404,44.8596,4368.9072,19.129,60.1278,16.3175,32.1,0.8495,25.9755,51.4039,59.0281,3.1174,16.5191,79111,24.7215,19.465,20.2648
"96143, Kings Beach, CA",96143,55.1251,44.8749,4279.7529,23.5259,28.0524,22.626,32.6,0.5142,39.3212,56.5307,84.2304,0.5485,0.4114,58364,20.1435,21.2199,22.8601
"89010, Dyer, NV",89010,55.0936,44.9064,4480.0905,32.0261,32.6797,16.0083,50.3,6.6528,69.0229,20.79,79.0021,0,0.2079,29324,34.5013,22.372,12.6685
"95488, Westport, CA",95488,55.0562,44.9438,4413.9706,12.8713,77.2277,36.7041,55.3,0.7491,86.1423,2.6217,87.6404,0.3745,0.7491,39286,33.3333,5.4795,25.1142
"95701, Alta, CA",95701,55.0544,44.9456,5106.4748,31.9444,53.4722,18.818,50.5,0.9331,90.6687,3.4215,92.846,0,0.9331,76351,28.5141,3.6145,14.257
"96123, Ravendale, CA",96123,55,45,4480.3279,0,36.3636,25.7143,51,1.4286,71.4286,17.1429,77.8571,2.8571,0.7143,51923,34.5455,33.6364,0
"96148, Tahoe Vista, CA",96148,54.9708,45.0292,4596.4286,7.0588,62.3529,33.3333,54.1,0.5848,89.4737,2.924,92.3977,0,4.0936,61842,20.5674,2.1277,35.461
"92266, Palo Verde, CA",92266,54.9296,45.0704,4397.0588,38.4615,15.3846,29.5775,57.5,2.8169,49.2958,32.3944,76.0563,1.4085,0,47857,13.7931,34.4828,0
"93544, Llano, CA",93544,54.8822,45.1178,4779.2564,28.7671,44.7489,22.3064,51.2,1.2626,57.3232,29.9663,69.697,4.7138,3.1987,58807,19.8267,25.0271,10.4009
"93608, Cantua Creek, CA",93608,54.8548,45.1452,3939.1459,26.9231,20.1183,6.722,27.5,0.4979,0.249,96.0166,42.9876,1.0788,0.8299,31854,14.0432,69.9074,4.0123
"95389, Yosemite National Park, CA",95389,54.8117,45.1883,4188.1818,23.9726,15.7534,32.636,46.4,1.6736,81.59,6.2762,84.1004,0.8368,2.5105,25455,41.7582,0.5495,9.3407
"92368, Oro Grande, CA",92368,54.7529,45.2471,4360.241,25.974,33.7662,12.9278,38.4,2.2814,38.403,52.0913,65.7795,2.6616,2.2814,45714,40.2367,26.0355,5.3254
"93546, Mammoth Lakes, CA",93546,54.6859,45.3141,4564.1628,10.9522,59.4497,31.3682,34.8,0.6404,61.2625,32.5371,79.8435,0.3456,2.0126,72573,20.2132,15.9189,22.701
"93523, Edwards, CA",93523,54.6582,45.3418,4150.6438,33.5235,40.2282,7.7065,27.9,1.5835,60.3589,25.3629,76.6957,6.9675,4.1436,65851,25.5587,13.3147,14.8045
"92678, Trabuco Canyon, CA",92678,54.6282,45.3718,5775.5656,0,93.9597,11.9879,41.2,0.9105,72.3824,16.5402,85.2807,0.9105,5.3111,200995,8.8578,2.0979,32.634
"95640, Ione, CA",95640,54.5899,45.4101,4935.2268,24.7387,49.3612,11.9743,43.4,2.5849,71.9855,16.7249,81.9058,2.6547,1.6627,73807,26.8354,10.4328,13.2728
"95525, Blue Lake, CA",95525,54.5802,45.4198,4974.7826,22.541,56.1475,19.084,49.2,9.3511,81.1069,3.626,83.5878,0,0.9542,79861,22.25,3,26.5
"93526, Independence, CA",93526,54.5639,45.4361,4833.9367,23.8095,46.4286,26.572,51.3,15.0101,64.503,15.4158,72.6166,1.0142,1.6227,70455,28.496,6.3325,21.372
"92060, Palomar Mountain, CA",92060,54.5455,45.4545,4731.6176,5.3191,41.4894,20.303,46.5,4.5455,67.2727,24.8485,84.5455,0.6061,0.9091,65132,26.0331,7.0248,11.157
"96132, Termo, CA",96132,54.5455,45.4545,4484.2105,0,33.3333,25,47.9,2.2727,68.1818,18.1818,79.5455,2.2727,0,55000,31.4286,37.1429,0
"95589, Whitethorn, CA",95589,54.4884,45.5116,4550.5141,27.674,47.5382,35.091,47.4,1.2555,85.7502,6.0264,88.3867,0.6277,1.2555,56803,38.7122,1.1129,15.1033
"95075, Tres Pinos, CA",95075,54.4747,45.5253,4885.1852,25.5924,34.5972,8.3658,37.6,1.1673,47.2763,51.1673,71.9844,0,0.3891,66667,21.0059,24.5562,10.355
"95979, Stonyford, CA",95979,54.4728,45.5272,4667.4074,27.0642,43.578,18.8498,54.4,3.0351,71.7252,19.4888,80.5112,5.1118,1.278,44600,31.4286,29.3878,8.7755
"95441, Geyserville, CA",95441,54.4427,45.5573,4941.4804,20.1856,47.9118,16.5896,45.3,1.4895,58.7057,35.6446,71.546,0.565,0.9759,73585,16.8675,21.6159,16.5131
"96084, Round Mountain, CA",96084,54.4321,45.5679,4901.845,27.5862,55.1724,15.7895,47.1,2.6316,82.133,7.8947,86.5651,2.2161,0.831,63636,27.1758,18.6501,8.3481
"95449, Hopland, CA",95449,54.4251,45.5749,4416.7925,15.2685,48.6577,18.5366,40.6,8.4321,53.4495,32.9617,69.0592,0.3484,1.2544,43571,24.3539,17.7932,10.6362
"93437, Lompoc, CA",93437,54.387,45.613,3907.6663,18.8557,49.935,1.1718,22.7,1.0003,53.6153,20.6916,64.0183,11.7176,7.7736,72556,10.4818,3.776,15.3646
"92322, Cedarpines Park, CA",92322,54.3796,45.6204,5076.6497,17.5824,63.7363,14.5985,47.7,1.4599,61.4964,24.4526,74.4526,5.292,4.7445,77778,32.619,10.4762,8.0952
"90073, Los Angeles, CA",90073,54.3779,45.6221,3286.4198,27.6786,30.3571,24.424,30.8,1.3825,0.4608,70.5069,30.4147,5.53,18.894,32692,20.1389,46.5278,11.1111
"94130, San Francisco, CA",94130,54.3601,45.6399,3203.0207,11.1111,66.8277,29.4828,26.7,1.1325,24.7263,23.7448,31.1061,23.0653,20.8003,39630,21.0599,7.9147,29.6628
"96119, Madeline, CA",96119,54.321,45.679,4502.8571,0,42.8571,25.9259,50.7,1.2346,70.3704,17.284,77.7778,2.4691,1.2346,53571,32.8125,34.375,0
"95720, Kyburz, CA",95720,54.2857,45.7143,4562.1622,37.037,37.037,31.4286,52.5,0,81.4286,8.5714,85.7143,0,2.8571,54545,31.0345,20.6897,20.6897
"93652, Raisin City, CA",93652,54.2657,45.7343,4146.6667,34.1463,16.2602,5.3147,29.8,4.1958,16.2238,75.5245,40.5594,1.1189,2.6573,33824,18.5096,57.2115,1.2019
"92332, Essex, CA",92332,54.2373,45.7627,4075,16.6667,44.4444,20.339,38.1,1.6949,30.5085,55.9322,49.1525,1.6949,3.3898,42500,36.5854,31.7073,0
"91906, Campo, CA",91906,54.2228,45.7772,4760.1504,23.6025,53.1056,13.3161,38.9,5.6995,56.114,31.8912,73.3679,3.8083,1.3472,66707,26.209,16.5367,10.9984
