Name,FIPS,"% Male Population, 2017","% Female Population, 2017","Healthcare (Household Average), 2017","% Employment, Blue Collar, 2017","% Employment, White Collar, 2017","% Non-Family Population, 2017","Total Population, Median Age, 2017","% American Indian and Alaska Native Population, 2017","% White Non-Hispanic Population, 2017","% Hispanic Population, 2017","% White Population, 2017","% Black Population, 2017","% Asian Population, 2017","Median Household Income, 2017","% Education, High School, 2017","% Education, < High School, 2017","% Education Attainment, Bachelor's Degree, 2017"
"91768, Pomona, CA",91768,50.6572,49.3428,4284.1567,28.6141,46.446,7.7395,28.1,1.2899,9.8523,70.3074,48.4901,7.0851,7.9541,56786,26.5153,33.2188,11.9179
"93223, Farmersville, CA",93223,50.6544,49.3456,4240.1611,30.4092,35.5549,4.8725,27.9,2.1974,10.7194,82.9751,52.3264,0.6114,0.7452,40182,20.5304,51.2996,2.5465
"95458, Lucerne, CA",95458,50.652,49.348,4190.308,8.3832,53.7425,33.2665,49,4.1792,75.0251,13.7078,80.4413,2.3069,1.237,28417,32.4687,13.4615,6.0823
"95627, Esparto, CA",95627,50.6475,49.3525,4846.4968,20.1019,43.2616,11.4905,36.4,1.8366,42.2887,46.5034,58.4177,1.9779,4.3796,69507,32.619,25.4268,9.0447
"95328, Keyes, CA",95328,50.6472,49.3528,4241.1379,34.4789,40.4656,6.3028,27.3,0.5627,21.722,65.2786,44.9916,1.1818,5.4586,39243,35.0131,33.9633,4.7244
"91733, South El Monte, CA",91733,50.644,49.356,4272.2104,40.109,34.4791,4.8286,31.3,1.1481,0.2108,79.5284,43.7804,0.5775,18.8491,49546,23.2203,50.1711,8.6211
"95815, Sacramento, CA",95815,50.6371,49.3629,3653.3692,26.5132,43.1993,19.4542,31.8,1.5796,28.0638,42.1922,47.7511,12.3196,12.0021,37185,26.6016,31.5931,8.8104
"93305, Bakersfield, CA",93305,50.6362,49.3638,3942.8024,24.576,34.9454,9.5679,28.2,3.2572,15.7662,74.6283,53.1165,6.0242,1.1411,39252,25.0085,41.4328,5.5445
"95681, Sheridan, CA",95681,50.6361,49.3639,5082.4096,27.2931,46.5324,9.9237,45.6,1.3571,75.9966,16.5394,84.9025,0.3393,1.6115,72443,28.5542,13.253,10
"93247, Lindsay, CA",93247,50.6319,49.3681,4329.9772,24.1658,33.1516,6.0549,28.1,1.2473,11.8791,81.1923,58.7582,0.7033,2.3297,42229,22.4527,46.6053,5.6764
"96105, Chilcoot, CA",96105,50.6306,49.3694,4971.3675,36.019,32.7014,18.018,54.6,2.3423,82.7027,12.0721,92.7928,0.3604,0.1802,70588,36.1174,14.2212,8.5779
"96064, Montague, CA",96064,50.6284,49.3716,4635.3604,21.8241,52.7687,18.6388,49.4,3.5807,81.5746,8.2049,86.009,1.0908,1.2568,47737,26.149,11.0935,12.2029
"95959, Nevada City, CA",95959,50.626,49.374,5021.2523,17.9538,66.2308,22.2503,52.7,1.0668,86.9463,6.1647,91.1403,0.6288,1.4542,73089,18.664,3.6786,24.2247
"95255, West Point, CA",95255,50.6233,49.3767,4721.4035,24.4444,51.1111,21.4634,56,6.8293,82.4932,8.4011,85.9621,0.0542,0.6504,51702,37.0719,16.3868,10.2082
"94109, San Francisco, CA",94109,50.621,49.379,3945.6338,5.0881,78.9824,58.702,39,0.4095,48.1116,11.7414,52.8001,4.0346,31.4408,71433,10.0516,10.4147,37.445
"95697, Yolo, CA",95697,50.6154,49.3846,4754.8,38.4615,28.5714,14.4615,45.9,0.7692,44.1538,46.9231,61.2308,1.0769,1.5385,58152,28.1046,31.1547,4.5752
"94515, Calistoga, CA",94515,50.6059,49.3941,4823.1383,15.3515,49.957,18.9106,43.5,0.6259,51.365,43.3213,70.8883,0.546,1.678,71436,20.0586,16.1385,23.9421
"95965, Oroville, CA",95965,50.6016,49.3984,4218.4399,22.1069,45.8135,17.05,35.3,3.9787,62.7608,14.1727,69.3595,1.9311,12.0864,43043,31.3258,22.1651,9.0302
"95425, Cloverdale, CA",95425,50.6003,49.3997,4851.1761,24.1728,47.4183,15.1675,41.6,1.9441,60.706,32.8705,71.6717,0.6809,1.317,67440,25.2046,19.0921,15.3453
"95018, Felton, CA",95018,50.5994,49.4006,5136.2654,16.4249,69.1192,22.2082,45.5,0.959,83.8864,7.9748,88.5174,0.9968,2.347,96429,12.5796,4.1876,24.7906
"92352, Lake Arrowhead, CA",92352,50.5978,49.4022,5001.6472,27.772,56.3731,15.214,49,0.5372,79.8648,14.7288,89.7072,0.6065,2.0447,73673,18.4025,5.3252,16.7059
"92363, Needles, CA",92363,50.5967,49.4033,4224.7493,32.0048,42.6329,18.3128,41,8.642,62.3045,24.0535,73.8889,1.9753,0.9671,37273,34.1508,17.9644,6.2538
"92530, Lake Elsinore, CA",92530,50.5942,49.4058,4479.1602,30.086,46.9323,9.2598,30.9,1.3418,33.1637,53.1674,56.8822,4.2014,3.3873,61831,30.8364,25.4646,6.5822
"93287, Woody, CA",93287,50.5814,49.4186,5044.5946,25,50,16.2791,53.8,2.907,79.6512,13.3721,87.2093,0.5814,1.7442,71875,39.7059,8.0882,5.8824
"96073, Palo Cedro, CA",96073,50.5789,49.4211,5359.0604,19.4562,55.8308,10.5789,50.3,2.5653,86.8785,6.311,90.2611,0.5902,0.8173,86782,23.2357,5.547,13.8367
"92117, San Diego, CA",92117,50.572,49.428,4720.2889,13.8322,67.417,23.4558,39.4,0.7797,58.6045,23.2349,69.582,2.2861,11.3003,83027,16.6551,9.9992,24.5234
"95445, Gualala, CA",95445,50.5714,49.4286,4650.5796,22.2798,56.7876,25.2381,54.1,1.0476,71.3333,22.1905,82,0.381,1.5714,49564,29.9227,6.0678,15.1695
"95430, Duncans Mills, CA",95430,50.5682,49.4318,5198.8372,25.974,67.5325,31.8182,56.9,0.5682,82.3864,10.2273,87.5,0.5682,2.2727,90278,15.894,1.3245,29.1391
"94505, Discovery Bay, CA",94505,50.5657,49.4343,5390.5054,18.1953,63.1631,10.5905,40.8,0.8758,68.0972,17.0936,78.6731,3.9486,4.6931,130522,19.4415,5.4789,21.0236
"93625, Fowler, CA",93625,50.5622,49.4378,4461.0828,23.584,46.272,8.3205,33.5,2.8524,18.8188,64.8834,44.2656,1.4558,10.8534,51487,21.6911,30.756,10.5885
"92509, Riverside, CA",92509,50.5609,49.4391,4587.329,35.6268,43.2559,6.5556,30.7,1.2785,18.4369,68.9617,47.6792,3.8953,3.123,63506,27.8587,34.135,6.5542
"95713, Colfax, CA",95713,50.5565,49.4435,5045.7972,23.1489,64.6886,15.6694,47.4,1.2562,85.2672,7.7355,89.6639,0.5289,1.5427,78239,25.9988,4.7011,20.802
"95726, Pollock Pines, CA",95726,50.5502,49.4498,5020.5248,19.7097,62.7706,16.4459,48.2,1.8239,84.6648,8.3147,89.5048,0.3057,1.2737,72775,28.2306,9.7192,13.0589
"95457, Lower Lake, CA",95457,50.5498,49.4502,4711.3379,25.5877,46.0217,23.3742,48.4,1.8222,77.4427,14.6403,81.7782,1.6023,0.9425,58401,23.307,15.538,10.2202
"95974, Richvale, CA",95974,50.5435,49.4565,4812.1212,26.2295,55.7377,14.1304,40.6,3.2609,72.2826,17.3913,80.9783,1.087,2.7174,61364,29.5082,18.0328,7.377
"95988, Willows, CA",95988,50.5427,49.4573,4406.5107,21.0643,43.1264,16.8801,36.4,2.0002,57.7509,33.87,73.3626,1.1953,4.9274,49214,31.367,19.7753,10.1124
"93434, Guadalupe, CA",93434,50.5424,49.4576,4371.0692,25.4312,26.7796,4.8614,29.4,1.9285,3.9507,86.7818,45.2658,1.3794,4.5802,56503,14.1742,57.0043,4.4013
"95439, Fulton, CA",95439,50.5359,49.4641,4759.1647,22.2411,62.8183,15.8285,34.4,1.8961,57.1311,25.1443,66.3644,4.0396,8.1616,98750,24.8768,9.9754,19.0887
"93702, Fresno, CA",93702,50.5357,49.4643,3749.5035,30.0886,28.2988,7.1853,25.9,2.6889,3.9243,75.1216,31.583,4.6939,13.234,29447,22.4238,53.724,3.584
"95689, Volcano, CA",95689,50.5323,49.4677,5280.1187,17.5403,69.5565,16.3946,58.4,1.0646,88.6444,5.7488,92.1221,0.4968,1.0646,81322,16.6944,11.3787,19.2691
"92242, Earp, CA",92242,50.5295,49.4705,4677.6074,23.5988,49.8525,28.2905,59.6,3.4039,78.1392,13.2375,85.0227,1.2103,0.2269,35811,39.3607,12.968,5.8447
"96122, Portola, CA",96122,50.5286,49.4714,4535.3569,20.0549,51.0302,19.4618,45.8,2.3787,77.1744,14.4161,80.9226,0.4805,0.937,50210,30.9628,12.6132,11.2714
"95351, Modesto, CA",95351,50.5282,49.4718,4023.5791,36.973,31.796,8.137,29,1.263,13.0245,69.0215,43.8145,3.5523,7.9707,36770,27.8212,40.6579,4.9342
"92065, Ramona, CA",92065,50.5254,49.4746,5192.3722,19.2591,59.0986,9.4417,40.2,1.2772,68.5493,24.2698,80.8606,1.1236,2.2473,95551,24.3788,12.0036,17.066
"95601, Amador City, CA",95601,50.5226,49.4774,5219.8444,31.2195,48.7805,16.2021,55.6,0.3484,84.8432,9.0592,91.2892,0.8711,0.8711,78774,30.0216,6.4795,18.1425
"94043, Mountain View, CA",94043,50.5209,49.4791,4603.7983,7.2944,78.3836,25.9589,37,0.4532,39.6198,20.8821,48.965,3.1354,30.8564,112092,10.5282,7.434,33.1071
"93555, Ridgecrest, CA",93555,50.5125,49.4875,4717.1204,21.6801,63.0001,15.4129,38.2,1.4874,70.0077,18.3701,80.3193,3.4991,4.8686,77287,22.3128,7.6539,18.3237
"93291, Visalia, CA",93291,50.5058,49.4942,4545.8142,18.4202,53.8518,9.2013,30,1.5986,26.3897,60.7071,55.9172,2.1741,7.6123,64041,21.7363,26.2346,14.9462
"93401, San Luis Obispo, CA",93401,50.5055,49.4945,4445.254,11.545,68.1679,38.5909,36,0.6293,74.8332,15.5801,85.0045,1.09,5.1441,71891,13.082,5.1898,30.542
"95961, Olivehurst, CA",95961,50.5023,49.4977,4381.485,23.1969,51.0264,9.7203,29.9,2.5728,44.1714,35.2027,58.9073,4.4807,8.7194,59012,21.805,28.1393,7.8374
"93267, Strathmore, CA",93267,50.4989,49.5011,4418.5594,21.8993,38.4363,5.9592,30,1.5741,23.9494,70.1195,59.3535,0.6746,1.3914,35631,22.911,36.3005,6.2732
"95646, Kirkwood, CA",95646,50.495,49.505,5041.0256,15.7895,50,11.8812,44.3,31.6832,62.3762,9.901,65.3465,0,0,78125,17.8082,10.9589,17.8082
"90029, Los Angeles, CA",90029,50.4825,49.5175,3728.5576,20.166,42.598,21.7785,35.2,1.0664,12.8835,61.3816,40.7611,3.1794,17.9929,41469,18.4624,34.2098,17.3778
"92706, Santa Ana, CA",92706,50.4777,49.5223,4592.6501,24.1851,47.7313,7.5827,31.6,0.9806,12.2136,72.9789,53.3389,1.694,10.3305,68385,21.2791,34.9096,12.8451
"95228, Copperopolis, CA",95228,50.4773,49.5227,5078.6011,25.4593,53.0184,15.0835,49.2,1.1933,79.1647,13.3174,87.852,0.8115,2.1718,83468,23.231,5.4604,14.6042
"93262, Sequoia National Park, CA",93262,50.4673,49.5327,5173.6842,19.5652,71.7391,25.7009,53.9,3.271,76.1682,14.0187,86.4486,0.4673,3.271,116176,22.2857,6.2857,19.4286
"91766, Pomona, CA",91766,50.4669,49.5331,4310.6441,32.1167,47.5093,6.975,30.2,1.3783,4.9407,73.8076,44.5954,5.4212,12.0164,59373,24.3381,35.7925,12.1368
"95824, Sacramento, CA",95824,50.4664,49.5336,3653.4104,30.718,36.9033,10.3127,30.6,1.2891,10.1949,45.4619,30.0703,9.6371,31.3439,36388,30.3952,38.177,6.5016
"95428, Covelo, CA",95428,50.4583,49.5417,4145.7953,19.8777,48.318,23.0769,39.7,40.4544,38.2224,13.5114,43.7625,1.395,0.7174,29839,33.1965,13.783,7.9179
"95131, San Jose, CA",95131,50.4471,49.5529,4610.934,16.0857,70.9584,10.0237,36.9,0.3747,8.3271,13.5758,13.438,2.8558,73.0004,126211,14.4957,13.0354,27.8779
"92626, Costa Mesa, CA",92626,50.4455,49.5545,4606.7939,12.076,69.1506,22.64,34.6,0.6132,50.7709,27.5991,65.7056,2.03,15.5002,91148,14.7499,11.1541,28.8293
"91331, Pacoima, CA",91331,50.4435,49.5565,4428.7973,33.9537,41.112,5.0889,30.6,1.0167,0.9309,87.4241,43.2541,3.425,5.4145,56555,25.072,46.7478,7.5085
"91605, North Hollywood, CA",91605,50.443,49.557,4227.2196,29.1957,43.4981,9.8272,32.8,0.8032,16.3164,65.005,47.3481,3.4419,10.0139,51131,21.6877,34.0993,13.9558
"95709, Camino, CA",95709,50.443,49.557,5145.7651,14.3469,69.3255,16.6988,49.2,1.0208,81.2789,12.4615,88.2512,0.3082,1.4831,80435,23.224,5.7866,14.9057
"93265, Springville, CA",93265,50.4337,49.5663,4868.0588,24.7365,52.9164,13.5516,46.1,16.5004,58.8682,22.3114,68.8422,0.8673,1.9731,62135,19.6537,15.0061,11.4824
"93591, Palmdale, CA",93591,50.4122,49.5878,4381.2679,30.0347,41.9715,8.0749,32,1.9107,27.5488,53.8935,54.1421,11.399,1.1517,56295,31.9829,29.1245,7.9901
"95119, San Jose, CA",95119,50.412,49.588,5289.3258,11.609,72.9124,8.1969,37.3,0.923,40.578,29.8209,54.3237,3.9556,19.8769,133026,18.2899,7.7088,25.6685
"91764, Ontario, CA",91764,50.4099,49.5901,4116.9403,35.721,46.2604,9.3774,29.8,1.0172,9.8319,73.518,45.765,7.4631,5.4168,59030,26.9902,31.1704,9.4505
"92316, Bloomington, CA",92316,50.4067,49.5933,4457.4617,42.3805,36.7602,4.8804,29.2,1.0897,7.5417,80.3616,50.4466,4.7792,2.4433,56189,27.7367,37.3294,6.0516
"93653, Raymond, CA",93653,50.4029,49.5971,4998.1651,25.1269,58.1218,11.3697,50,2.2381,77.9767,12.8021,85.5864,1.7905,0.9848,68902,27.8177,9.8321,13.3094
"95536, Ferndale, CA",95536,50.4022,49.5978,4749.3947,16.2433,57.8137,22.3854,47,1.6439,82.3715,10.0735,88.3176,0.4897,1.2592,63351,25.3788,7.7652,20.2652
"93226, Glennville, CA",93226,50.4,49.6,5032.7103,24.2857,48.5714,16.4,54.4,2.8,79.6,13.2,87.6,0.8,1.6,68750,39.5939,8.1218,6.599
"95139, San Jose, CA",95139,50.3981,49.6019,5175.6547,13.6764,76.6648,8.957,37.7,1.2341,41.0695,27.8928,53.0387,4.1136,20.9528,122567,12.7672,10.1148,31.5914
"95111, San Jose, CA",95111,50.392,49.608,4302.1601,26.4569,44.7654,6.7623,32.9,0.9116,6.1624,50.5857,25.7109,3.6811,37.6626,65804,22.1767,33.6857,13.6009
